"BROKEN","EPIC","FAILED","FEATURE","PASSED","SKIPPED","STORY","UNKNOWN"
"0","Construct","0","Vendor Flow - RFQ Enhanced","0","1","RFQ Quote - Input Validation","0"
"0","Construct","0","Customer Flow - Quote / RFQ","0","1","RFP Non-Editable After End Date","0"
"0","Construct","0","Vendor Flow - RFP (Invited)","0","1","Vendor Cannot Edit RFP After Submit","0"
"0","Construct","0","Vendor Flow - Performance","1","0","Navigation Performance","0"
"0","Construct","0","Vendor Flow - RFP/RFQ Integration","1","0","Navigation - RFP to RFQ","0"
"0","Construct","0","Customer Flow - Integration Tests","1","0","Navigation - Complete Application","0"
"0","Construct","0","Customer Flow - RFP Enhanced","0","1","Create RFP - Validation","0"
"0","Construct","0","Vendor Flow - Service Management","1","0","Security - XSS Protection","0"
"0","Construct","0","Login - Common (Security & Validation)","2","0","SQL Injection","0"
"0","Construct","1","Vendor Flow - Service Management - Access Control","0","0","Role-Based Access Control","0"
"0","Construct","0","Vendor Flow - RFQ Enhanced","0","1","RFQ Quote - Single Submission","0"
"0","Construct","0","Customer Flow - Quote/RFQ Enhanced","1","0","Quote List - View Functionality","0"
"0","Construct","0","Login - Customer Flow","1","0","Customer Login Success","0"
"0","Construct","0","Vendor Flow - Service Management","1","0","Service Validation","0"
"0","Construct","0","Vendor Flow - Negative","3","0","Validation","0"
"0","Construct","0","Vendor Flow - RFP Enhanced","1","0","RFP List - Basic Functionality","0"
"0","Construct","0","Vendor Flow - Service Management","1","0","Service - Long Text","0"
"0","Construct","0","Vendor Flow - RFP (Invited)","0","1","Vendor Add Comment After RFP Submit","0"
"0","Construct","1","Vendor Dashboard","1","0","Services Section","0"
"0","Construct","0","Vendor Flow - RFQ Enhanced","1","0","RFQ List - Basic Functionality","0"
"0","Construct","0","Vendor Flow - Performance","1","0","Dashboard Load Performance","0"
"0","Construct","0","Vendor Flow - Positive","1","0","Session","0"
"0","Construct","0","Vendor Flow - RFP Enhanced","0","1","RFP Comments - Multiple Comments","0"
"0","Construct","0","Customer Flow - RFP Enhanced","0","1","RFP Comments - Multiple Comments","0"
"0","Construct","0","Vendor Flow","1","0","Login","0"
"0","Construct","1","Vendor Flow - Service Management","0","0","Create Multiple Services","0"
"0","Construct","0","Login - Common (Security & Validation)","1","0","XSS","0"
"0","Construct","0","Customer Flow - Project & Task","0","1","Create Project","0"
"0","Construct","0","Vendor Flow - Access Control","3","0","Unauthenticated Access","0"
