"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"Smoke test: Vendor adds a service","9877","test_smoke_vendor_add_service[chromium]","tests","2026-03-18","passed","2026-03-18","","smoke_test","",""
"Smoke test: Login form has all required elements","3731","test_login_form_elements_visible[chromium]","tests","2026-03-18","passed","2026-03-18","TestSmokeUIElements","test_smoke_comprehensive","",""
"Smoke test: Vendor can view services list","9557","test_vendor_view_services_list[chromium]","tests","2026-03-18","passed","2026-03-18","TestSmokeVendorService","test_smoke_comprehensive","",""
"Smoke test: Invalid route is handled gracefully","5859","test_invalid_route_handling[chromium]","tests","2026-03-18","passed","2026-03-18","TestSmokeErrorHandling","test_smoke_comprehensive","",""
"Smoke test: Vendor dashboard has navigation elements","9306","test_vendor_dashboard_navigation_elements[chromium]","tests","2026-03-18","passed","2026-03-18","TestSmokeUIElements","test_smoke_comprehensive","",""
"Smoke test: Login page loads within acceptable time","4929","test_login_page_load_time[chromium]","tests","2026-03-18","passed","2026-03-18","TestSmokePageLoad","test_smoke_comprehensive","",""
"Smoke test: Vendor can login successfully","9641","test_vendor_login_success[chromium]","tests","2026-03-18","passed","2026-03-18","TestSmokeLogin","test_smoke_comprehensive","",""
"Smoke test: Customer can access dashboard and RFP pages","10404","test_customer_dashboard_access[chromium]","tests","2026-03-18","passed","2026-03-18","TestSmokeCustomerNavigation","test_smoke_comprehensive","",""
"Smoke test: Customer creates an RFP","10078","test_smoke_customer_create_rfp[chromium]","tests","2026-03-18","passed","2026-03-18","","smoke_test","",""
"Basic smoke test: Vendor login and dashboard access","8582","test_smoke_vendor_login[chromium]","tests","2026-03-18","passed","2026-03-18","","smoke_test","",""
"Smoke test: Vendor navigation to key pages","11630","test_smoke_vendor_navigation[chromium]","tests","2026-03-18","passed","2026-03-18","","smoke_test","",""
"Smoke test: Vendor dashboard loads within acceptable time","9150","test_vendor_dashboard_load_time[chromium]","tests","2026-03-18","passed","2026-03-18","TestSmokePageLoad","test_smoke_comprehensive","",""
"Smoke test: Unauthenticated user cannot access protected pages","6743","test_unauthenticated_redirect_to_login[chromium]","tests","2026-03-18","passed","2026-03-18","TestSmokeAuthentication","test_smoke_comprehensive","",""
"Smoke test: User session persists across page navigation","10609","test_session_persistence_vendor[chromium]","tests","2026-03-18","passed","2026-03-18","TestSmokeAuthentication","test_smoke_comprehensive","",""
"Smoke test: Customer creates a project","8685","test_smoke_customer_create_project[chromium]","tests","2026-03-18","passed","2026-03-18","","smoke_test","",""
"Smoke test: Customer can view projects list","9340","test_customer_view_projects_list[chromium]","tests","2026-03-18","passed","2026-03-18","TestSmokeCustomerRFP","test_smoke_comprehensive","",""
"Smoke test: Customer can view RFP list","9025","test_customer_view_rfp_list[chromium]","tests","2026-03-18","passed","2026-03-18","TestSmokeCustomerRFP","test_smoke_comprehensive","",""
"Smoke test: Login fails with invalid credentials","6620","test_login_invalid_credentials[chromium]","tests","2026-03-18","passed","2026-03-18","TestSmokeLogin","test_smoke_comprehensive","",""
"Smoke test: Vendor can navigate to RFP, RFQ, and Services","11257","test_vendor_dashboard_navigation[chromium]","tests","2026-03-18","passed","2026-03-18","TestSmokeVendorNavigation","test_smoke_comprehensive","",""
"Smoke test: Vendor can navigate to add service page","10168","test_vendor_add_service_page_access[chromium]","tests","2026-03-18","passed","2026-03-18","TestSmokeVendorNavigation","test_smoke_comprehensive","",""
"Smoke test: Vendor can add a service successfully","12128","test_vendor_add_service_basic[chromium]","tests","2026-03-18","passed","2026-03-18","TestSmokeVendorService","test_smoke_comprehensive","",""
"Smoke test: Customer can login successfully","7285","test_customer_login_success[chromium]","tests","2026-03-18","passed","2026-03-18","TestSmokeLogin","test_smoke_comprehensive","",""
"Smoke test: Empty credentials don't break login","5710","test_login_with_empty_credentials[chromium]","tests","2026-03-18","passed","2026-03-18","TestSmokeErrorHandling","test_smoke_comprehensive","",""
"Basic smoke test: Customer login and dashboard access","7782","test_smoke_customer_login[chromium]","tests","2026-03-18","passed","2026-03-18","","smoke_test","",""
