"BROKEN","EPIC","FAILED","FEATURE","PASSED","SKIPPED","STORY","UNKNOWN"
"0","Construct - Smoke","0","Navigation","2","0","Dashboard Navigation","0"
"0","Construct - Smoke","0","Navigation","1","0","Add Service Navigation","0"
"0","Construct - Smoke","0","UI Elements","1","0","Login Form Elements","0"
"0","Construct - Smoke","0","Login","1","0","Invalid Credentials","0"
"0","Construct - Smoke","0","Login","2","0","Customer Login","0"
"0","Construct - Smoke","0","UI Elements","1","0","Dashboard Navigation","0"
"0","Construct - Smoke","0","Error Handling","1","0","Empty Credentials","0"
"0","Construct - Smoke","0","Core Functionality","1","0","Create RFP","0"
"0","Construct - Smoke","0","Core Functionality","1","0","Create Project","0"
"0","Construct - Smoke","0","Performance","1","0","Page Load Times","0"
"0","Construct - Smoke","0","RFP Management","1","0","View Projects","0"
"0","Construct - Smoke","0","Security","1","0","Session Persistence","0"
"0","Construct - Smoke","0","Service Management","1","0","Service List","0"
"0","Construct - Smoke","0","RFP Management","1","0","View RFP List","0"
"0","Construct - Smoke","0","Security","1","0","Access Control","0"
"0","Construct - Smoke","0","Error Handling","1","0","Invalid Route","0"
"0","Construct - Smoke","0","Performance","1","0","Dashboard Load Times","0"
"0","Construct - Smoke","0","Login","2","0","Vendor Login","0"
"0","Construct - Smoke","0","Navigation","1","0","Vendor Navigation","0"
"0","Construct - Smoke","0","Core Functionality","1","0","Vendor Add Service","0"
"0","Construct - Smoke","0","Service Management","1","0","Add Service","0"
