"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"Smoke test: Vendor can navigate to RFP, RFQ, and Services","12696","test_vendor_dashboard_navigation[chromium]","tests","2026-03-18","passed","2026-03-18","TestSmokeVendorNavigation","test_smoke_comprehensive","",""
"Smoke test: Vendor can navigate to add service page","9706","test_vendor_add_service_page_access[chromium]","tests","2026-03-18","passed","2026-03-18","TestSmokeVendorNavigation","test_smoke_comprehensive","",""
"Smoke test: Login form has all required elements","4605","test_login_form_elements_visible[chromium]","tests","2026-03-18","passed","2026-03-18","TestSmokeUIElements","test_smoke_comprehensive","",""
"Smoke test: Login fails with invalid credentials","5968","test_login_invalid_credentials[chromium]","tests","2026-03-18","passed","2026-03-18","TestSmokeLogin","test_smoke_comprehensive","",""
"Smoke test: Customer can login successfully","9333","test_customer_login_success[chromium]","tests","2026-03-18","passed","2026-03-18","TestSmokeLogin","test_smoke_comprehensive","",""
"Basic smoke test: Customer login and dashboard access","7452","test_smoke_customer_login[chromium]","tests","2026-03-18","passed","2026-03-18","","smoke_test","",""
"Smoke test: Vendor dashboard has navigation elements","9102","test_vendor_dashboard_navigation_elements[chromium]","tests","2026-03-18","passed","2026-03-18","TestSmokeUIElements","test_smoke_comprehensive","",""
"Smoke test: Empty credentials don't break login","6365","test_login_with_empty_credentials[chromium]","tests","2026-03-18","passed","2026-03-18","TestSmokeErrorHandling","test_smoke_comprehensive","",""
"Smoke test: Customer creates an RFP","9532","test_smoke_customer_create_rfp[chromium]","tests","2026-03-18","passed","2026-03-18","","smoke_test","",""
"Smoke test: Customer creates a project","7779","test_smoke_customer_create_project[chromium]","tests","2026-03-18","passed","2026-03-18","","smoke_test","",""
"Smoke test: Login page loads within acceptable time","4673","test_login_page_load_time[chromium]","tests","2026-03-18","passed","2026-03-18","TestSmokePageLoad","test_smoke_comprehensive","",""
"Smoke test: Customer can view projects list","10066","test_customer_view_projects_list[chromium]","tests","2026-03-18","passed","2026-03-18","TestSmokeCustomerRFP","test_smoke_comprehensive","",""
"Smoke test: User session persists across page navigation","10408","test_session_persistence_vendor[chromium]","tests","2026-03-18","passed","2026-03-18","TestSmokeAuthentication","test_smoke_comprehensive","",""
"Smoke test: Vendor can view services list","10823","test_vendor_view_services_list[chromium]","tests","2026-03-18","passed","2026-03-18","TestSmokeVendorService","test_smoke_comprehensive","",""
"Smoke test: Customer can view RFP list","8959","test_customer_view_rfp_list[chromium]","tests","2026-03-18","passed","2026-03-18","TestSmokeCustomerRFP","test_smoke_comprehensive","",""
"Smoke test: Unauthenticated user cannot access protected pages","6632","test_unauthenticated_redirect_to_login[chromium]","tests","2026-03-18","passed","2026-03-18","TestSmokeAuthentication","test_smoke_comprehensive","",""
"Smoke test: Invalid route is handled gracefully","5673","test_invalid_route_handling[chromium]","tests","2026-03-18","passed","2026-03-18","TestSmokeErrorHandling","test_smoke_comprehensive","",""
"Smoke test: Vendor dashboard loads within acceptable time","8776","test_vendor_dashboard_load_time[chromium]","tests","2026-03-18","passed","2026-03-18","TestSmokePageLoad","test_smoke_comprehensive","",""
"Smoke test: Customer can access dashboard and RFP pages","10074","test_customer_dashboard_access[chromium]","tests","2026-03-18","passed","2026-03-18","TestSmokeCustomerNavigation","test_smoke_comprehensive","",""
"Smoke test: Vendor can login successfully","8843","test_vendor_login_success[chromium]","tests","2026-03-18","passed","2026-03-18","TestSmokeLogin","test_smoke_comprehensive","",""
"Smoke test: Vendor navigation to key pages","14803","test_smoke_vendor_navigation[chromium]","tests","2026-03-18","passed","2026-03-18","","smoke_test","",""
"Smoke test: Vendor adds a service","9642","test_smoke_vendor_add_service[chromium]","tests","2026-03-18","passed","2026-03-18","","smoke_test","",""
"Basic smoke test: Vendor login and dashboard access","8745","test_smoke_vendor_login[chromium]","tests","2026-03-18","passed","2026-03-18","","smoke_test","",""
"Smoke test: Vendor can add a service successfully","12564","test_vendor_add_service_basic[chromium]","tests","2026-03-18","passed","2026-03-18","TestSmokeVendorService","test_smoke_comprehensive","",""
